PAÍS,SOLICITANTES,ABANDONOS,DESISTIDOS,SOLICITANTES QUE CONCLUYERON PROCEDIMIENTO,RECONOCIDOS,PC,NO RECONOCIDOS
HONDURAS,530,84,78,367,110,26,232
SALVADOR,309,46,31,232,97,1,134
CUBA,98,4,55,39,3,0,36
INDIA,87,1,74,12,0,0,12
GUATEMALA,48,15,2,31,7,1,23
COLOMBIA,40,10,1,29,8,0,21
NIGERIA,39,1,2,36,14,0,22
NICARAGUA,20,11,4,5,0,0,5
HAITI,14,2,3,9,1,0,8
GHANA,12,1,6,5,0,0,5
SIRIA,11,0,0,11,11,0,0
BANGLADESH,9,0,9,0,0,0,0
ESTADOS UNIDOS,7,0,0,7,1,0,6
CAMERUN,6,0,1,5,1,0,4
ECUADOR,5,0,0,5,0,0,5
PAKISTAN,5,0,1,4,1,0,3
REP. DOMINICANA,5,0,1,4,1,0,3
RUSIA,5,0,0,5,3,1,1
SRI LANKA,5,0,0,5,5,0,0
IRAN,4,0,0,4,3,1,0
CONGO,4,0,0,4,1,2,1
GUINEA,3,0,0,3,1,0,2
ALBANIA,3,0,0,3,0,0,3
ETIOPIA,2,0,0,2,2,0,0
COSTA RICA,2,1,0,1,0,1,0
NEPAL,2,0,2,0,0,0,0
REP DEM CONGO,2,0,0,2,2,0,0
SOMALIA,2,0,2,0,0,0,0
CHINA,2,0,2,0,0,0,0
ERITREA,1,0,0,1,1,0,0
LIBIA,1,0,0,1,0,0,1
SENEGAL,1,0,0,1,0,0,1
SIERRA LEONA,1,0,0,1,0,0,1
SINGAPUR,1,0,0,1,0,0,1
COSTA DE MARFIL,1,0,0,1,1,0,0
EGIPTO,1,0,0,1,1,0,0
IRAK,1,0,0,1,0,0,1
MARRUECOS,1,0,0,1,1,0,0
PERU,1,0,0,1,1,0,0
TIMOR ORIENTAL,1,0,0,1,1,0,0
TOGO,1,0,0,1,0,0,1
UCRANIA,1,0,0,1,1,0,0
VENEZUELA,1,0,0,1,1,0,0
BELICE,1,0,0,1,0,0,1
TOTALES,1296,176,274,845,280,33,533
